GameID,Name,Type,Provider,RTP,Themes,Features,Betways,Hitrate,Volatility
em:37051,Festival of Fortune,VIDEOSLOTS,NetGaming,0.9593,[],"[""Bonus Round"",""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",15,0.188088742,491.7173345
em:44830,Big Bass Bonanza Megaways,VIDEOSLOTS,PragmaticPlay,0.967,"[""Fishing""]","[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",46656,0.133217255,1119.727198
em:37927,Big Bass Bonanza,VIDEOSLOTS,PragmaticPlay,0.9671,"[""Fishing""]","[""Free Spins""]",10,0.118159868,924.5573884
em:35327,African Fortune,VIDEOSLOTS,Spinomenal,0.958,"[""Animals""]","[""Buy Feature"",""Free Spins"",""Wild Symbol""]",100,0.157966158,252.2987067
em:47109,Spaceman,CRASHGAMES,PragmaticPlay,0.955,"[""Space""]",[],None,0.266403701,3802.433308
em:60510,Wild Wild Bass 3™,VIDEOSLOTS,StakeLogic,0.9604,"[""Fishing""]","[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",2304,0.220112334,1752.23411
em:36834,ZEUS,VIDEOSLOTS,SpadeGaming,0.9698,"[""History"",""Mythology""]","[""Free Spins""]",null,0.294912589,770.6212107
em:17133,Book of Adventure,VIDEOSLOTS,StakeLogic,0.9621,"[""Adventure"",""Egyptian""]","[""Free Spins"",""Gamble Feature"",""Scatter Symbols""]",10,0.236160892,1022.394387
em:36811,888,VIDEOSLOTS,SpadeGaming,0.9609,"[""Animals"",""Asian""]",[],1,0.100824744,1003.512156
em:60805,Dragon Flare,CRASHGAMES,iMoon,0.99,[],[],null,0.199848312,3038.064147
em:48936,1 Million Fortunes Megaways,VIDEOSLOTS,OneXTwoGaming,0.962,"[""Classic""]","[""Megaways""]",117649,0.236488308,3877.024346
em:49546,1 Reel Buffalo,VIDEOSLOTS,Spinomenal,0.9542,"[""Animals""]","[""Wild Symbol"",""Random Collectible""]",1,0.178668663,548.8706226
em:52061,1 Reel Elves,VIDEOSLOTS,Spinomenal,0.9542,"[""Christmas""]","[""Multiplier"",""Random Collectibles""]",1,0.190712299,140.7665647
em:30187,Hot Hot Fruit,VIDEOSLOTS,Habanero,0.9394,"[""Fruits""]","[""Free Spins"",""Wild Symbol""]",15,0.15857949,653.6842976
em:60308,Clash of the Giants,VIDEOSLOTS,SpadeGaming,0.9685,"[""Action""]","[""Free Spins"",""Multiplier"",""Scatter Symbol"",""Wild Symbol""]",200704,0.216001174,4353.675636
em:50853,1 Reel Majestic King,VIDEOSLOTS,Spinomenal,0.9542,"[""Animals""]","[""Random Collectibles"",""Wild Symbol""]",1,0.175090892,362.8767584
em:36019,Hey Sushi,VIDEOSLOTS,Habanero,0.9675,"[""Food""]","[""Free Spins"",""Multiplier""]",25,0.227979006,1562.531153
em:48820,Wild Moon Saloon,VIDEOSLOTS,StakeLogic,0.958,"[""Classic""]","[""Buy Feature"",""Free Spins"",""Scatter Symbol""]",40,0.246970145,4800.650612
em:37047,Master of Fortune,VIDEOSLOTS,NetGaming,0.9582,[],"[""Bonus Round"",""Free Spins"",""Scatter Symbol"",""Wild Symbol""]",27,0.190990571,6778.762965
em:35483,Fruit Party™,VIDEOSLOTS,PragmaticPlay,0.9647,"[""Fruits""]","[""Buy Feature"",""Multiplier""]",9,0.285113541,13820.38214
em:39095,Gates of Olympus™,VIDEOSLOTS,PragmaticPlay,0.965,"[""Mythology""]","[""Buy Feature"",""Free Spins"",""Multiplier""]",Pay Anywhere,0.243438112,8970.259019
em:36820,Brothers kingdom,VIDEOSLOTS,SpadeGaming,0.972,"[""Asian"",""History""]",[],20,0.301141656,392.9015098
em:36817,Triple Panda,VIDEOSLOTS,SpadeGaming,0.9693,"[""Animals"",""Cartoon"",""Tropical""]",[],5,0.125817706,1563.193793
em:15758,Chilli Heat,VIDEOSLOTS,PragmaticPlay,0.9554,[],"[""Bonus Round"",""Free Spins"",""Respins"",""Wild Symbol""]",25,0.279014924,1900.374439
em:44824,Royal Crown 2,VIDEOSLOTS,RGS_Matrix,0.9552,"[""Classic"",""Fruits""]","[""Gamble"",""Scatter Symbol"",""Wild Symbol""]",null,0.127160052,957.4366794
em:60094,Wolf Fang - Eclipse,VIDEOSLOTS,Spinomenal,0.9583,"[""Mystic""]","[""Free Spins""]",30,0.244295223,664.7453655
